x_mm,y_mm,z_mm,v_pp,v_max,v_min,frequency,pii,pd
-15.625,12.5,0.0,19.6,10.8,-8.8,992.063492063492,556.3655363650464,0.0007925
-12.5,12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.8690899735896,0.0007925
-9.375,12.5,0.0,19.6,10.8,-8.8,992.063492063492,556.2387026067058,0.0007899999999999999
-6.25,12.5,0.0,19.6,10.8,-8.8,992.063492063492,556.5205271116456,0.0007925
-3.125,12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.5526981269555,0.0007925
0.0,12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.8942268578579,0.0007925
3.125,12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.9453529039845,0.0007925
6.25,12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.8627043751052,0.0007925
9.375,12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.8225553814221,0.0007925
12.5,12.5,0.0,19.6,10.8,-8.8,992.063492063492,556.1029358475688,0.0007925
15.625,12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.2584949678374,0.0007899999999999999
-15.625,15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.5629950076574,0.0007899999999999999
-12.5,15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.1490922312411,0.0007899999999999999
-9.375,15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.9199944039666,0.0007925
-6.25,15.625,0.0,19.6,10.8,-8.8,992.063492063492,556.0454159513076,0.0007899999999999999
-3.125,15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.722756386907,0.0007899999999999999
0.0,15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.0748379882779,0.0007899999999999999
3.125,15.625,0.0,19.6,10.8,-8.8,992.063492063492,556.5010956541199,0.0007899999999999999
6.25,15.625,0.0,19.6,10.8,-8.8,992.063492063492,556.4437207511417,0.0007925
9.375,15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.8715937600361,0.0007925
12.5,15.625,0.0,19.6,10.8,-8.8,992.063492063492,556.546385425907,0.0007925
15.625,15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.8162499418258,0.0007899999999999999
